Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
1	1	1	1	1	0	0	1	0	0	0
2	0	0	1	1	1	1	0	0	0	0
3	0	0	1	1	1	1	0	1	0	0
4	0	0	0	1	0	1	0	1	1	1
5	0	1	0	0	0	1	0	1	1	0
6	0	0	0	0	0	1	0	1	1	1
7	0	1	1	0	1	1	0	0	0	1
8	0	0	1	0	1	1	0	0	0	1
9	0	0	0	0	0	0	0	1	1	1
10	0	1	0	0	0	1	0	0	0	1
11	0	1	1	0	1	1	0	0	0	0
12	0	1	1	0	1	0	1	1	0	0
13	0	1	1	1	0	1	1	1	1	0
14	1	0	1	1	0	1	1	1	0	0
15	1	0	1	1	0	1	1	1	0	1
16	1	0	1	1	0	0	1	0	0	0
17	1	0	1	1	0	1	1	0	1	1
18	0	0	1	1	0	1	1	0	0	1
19	1	1	1	1	0	0	1	1	0	0
20	1	0	0	1	0	0	1	1	0	0
21	1	1	1	1	0	0	1	0	0	0
